episode,reward,best
1,-10.0800,-10.0800
2,-10.0700,-10.0700
3,-10.1000,-10.0700
4,-10.2800,-10.0700
5,-10.5700,-10.0700
6,-10.1400,-10.0700
7,-10.3200,-10.0700
8,-10.1800,-10.0700
9,-10.1500,-10.0700
10,-10.3500,-10.0700
11,-10.3100,-10.0700
12,-10.1400,-10.0700
13,-10.0700,-10.0700
14,-10.1500,-10.0700
15,-10.3300,-10.0700
16,-0.7500,-0.7500
17,-10.1000,-0.7500
18,-10.1300,-0.7500
19,-0.3500,-0.3500
20,-10.5900,-0.3500
21,-10.2900,-0.3500
22,-10.4300,-0.3500
23,-10.3000,-0.3500
24,-10.2300,-0.3500
25,-10.1000,-0.3500
26,-10.0300,-0.3500
27,-10.1500,-0.3500
28,-10.2500,-0.3500
29,-10.0600,-0.3500
30,-10.1800,-0.3500
31,-10.0500,-0.3500
32,-10.0300,-0.3500
33,-10.2400,-0.3500
34,-10.1300,-0.3500
35,-0.2900,-0.2900
36,-10.5600,-0.2900
37,-10.1800,-0.2900
38,-10.6700,-0.2900
39,-10.4700,-0.2900
40,-10.0300,-0.2900
41,-10.5100,-0.2900
42,-10.2100,-0.2900
43,-0.6800,-0.2900
44,-10.0300,-0.2900
45,-0.9400,-0.2900
46,-10.2100,-0.2900
47,-10.4500,-0.2900
48,-10.1900,-0.2900
49,-10.2400,-0.2900
50,-10.5100,-0.2900
51,-10.1100,-0.2900
52,-10.0700,-0.2900
53,-10.3800,-0.2900
54,-1.5400,-0.2900
55,-10.3600,-0.2900
56,-10.4300,-0.2900
57,-10.3900,-0.2900
58,-10.4500,-0.2900
59,-10.5200,-0.2900
60,-10.3200,-0.2900
61,-10.2500,-0.2900
62,-10.2200,-0.2900
63,-10.9800,-0.2900
64,-10.1800,-0.2900
65,-10.0600,-0.2900
66,-10.3800,-0.2900
67,-10.4500,-0.2900
68,-0.9100,-0.2900
69,-10.0600,-0.2900
70,-10.1900,-0.2900
71,-10.2400,-0.2900
72,-10.1700,-0.2900
73,-10.0900,-0.2900
74,-10.2200,-0.2900
75,-10.1300,-0.2900
76,-10.8400,-0.2900
77,-10.3500,-0.2900
78,-10.3300,-0.2900
79,-10.4600,-0.2900
80,-10.1300,-0.2900
81,-10.2000,-0.2900
82,-10.4600,-0.2900
83,-10.9300,-0.2900
84,-10.0600,-0.2900
85,-10.2500,-0.2900
86,-11.6700,-0.2900
87,-10.2500,-0.2900
88,-2.4100,-0.2900
89,-10.8200,-0.2900
90,-10.3000,-0.2900
91,-11.5200,-0.2900
92,-3.0000,-0.2900
93,-12.3800,-0.2900
94,-1.8100,-0.2900
95,-11.7700,-0.2900
96,7.0100,7.0100
97,-10.5800,7.0100
98,-10.9400,7.0100
99,-3.0000,7.0100
100,-3.0000,7.0100
101,-3.0000,7.0100
102,-11.2300,7.0100
103,-11.0800,7.0100
104,7.0100,7.0100
105,-0.2700,7.0100
106,-3.0000,7.0100
107,-10.9300,7.0100
108,-10.9500,7.0100
109,-10.4900,7.0100
110,-12.2500,7.0100
111,-3.0000,7.0100
112,-11.9300,7.0100
113,-12.8100,7.0100
114,-12.6900,7.0100
115,7.0100,7.0100
116,-10.8500,7.0100
117,-10.3500,7.0100
118,-3.0000,7.0100
119,-11.2500,7.0100
120,-3.0000,7.0100
121,-10.3100,7.0100
122,-3.0000,7.0100
123,-10.4700,7.0100
124,-2.4700,7.0100
125,-10.4200,7.0100
126,-10.9400,7.0100
127,-10.5600,7.0100
128,-3.0000,7.0100
129,-2.1900,7.0100
130,-3.0000,7.0100
131,-3.0000,7.0100
132,-10.3300,7.0100
133,7.0100,7.0100
134,-11.2500,7.0100
135,-3.0000,7.0100
136,-10.4900,7.0100
137,-3.0000,7.0100
138,-2.0200,7.0100
139,-2.3000,7.0100
140,-10.9700,7.0100
141,7.0100,7.0100
142,8.7100,8.7100
143,-10.5900,8.7100
144,-12.3900,8.7100
145,-0.7500,8.7100
146,-10.4400,8.7100
147,7.0100,8.7100
148,-3.0000,8.7100
149,7.0100,8.7100
150,-10.1100,8.7100
151,-10.5000,8.7100
152,-3.0000,8.7100
153,7.0100,8.7100
154,7.0100,8.7100
155,7.0100,8.7100
156,-11.6500,8.7100
157,-12.6500,8.7100
158,-10.6500,8.7100
159,-1.9900,8.7100
160,-3.0000,8.7100
161,-10.4100,8.7100
162,-10.0900,8.7100
163,27.0300,27.0300
164,-10.1300,27.0300
165,17.0200,27.0300
166,-0.4000,27.0300
167,7.0100,27.0300
168,-10.1300,27.0300
169,7.0800,27.0300
170,8.4500,27.0300
171,-0.7100,27.0300
172,27.0300,27.0300
173,7.0100,27.0300
174,7.0100,27.0300
175,-1.5200,27.0300
176,-0.5300,27.0300
177,-1.1300,27.0300
178,17.0200,27.0300
179,17.0200,27.0300
180,-10.6500,27.0300
181,-2.4800,27.0300
182,18.9200,27.0300
183,-3.0000,27.0300
184,-10.1300,27.0300
185,-11.0700,27.0300
186,-10.6700,27.0300
187,9.8000,27.0300
188,-10.4800,27.0300
189,-10.4800,27.0300
190,8.2900,27.0300
191,-11.4600,27.0300
192,8.5700,27.0300
193,-2.6000,27.0300
194,-10.4000,27.0300
195,-10.0300,27.0300
196,-0.4400,27.0300
197,-12.1600,27.0300
198,-2.1900,27.0300
199,-0.6200,27.0300
200,-11.9700,27.0300
201,17.0200,27.0300
202,8.2700,27.0300
203,-10.1600,27.0300
204,-10.8700,27.0300
205,8.2200,27.0300
206,17.9400,27.0300
207,-2.0600,27.0300
208,17.2200,27.0300
209,-3.0000,27.0300
210,-0.7100,27.0300
211,-3.0000,27.0300
212,-10.4800,27.0300
213,-10.7600,27.0300
214,-3.0000,27.0300
215,-11.7100,27.0300
216,8.6300,27.0300
217,-0.3100,27.0300
218,-11.2400,27.0300
219,7.0100,27.0300
220,9.4200,27.0300
221,-10.6500,27.0300
222,37.0400,37.0400
223,-11.6900,37.0400
224,27.0300,37.0400
225,-10.7700,37.0400
226,-2.1800,37.0400
227,7.0100,37.0400
228,-10.7500,37.0400
229,-0.6200,37.0400
230,17.4100,37.0400
231,7.0100,37.0400
232,-2.1500,37.0400
233,-3.0000,37.0400
234,8.2700,37.0400
235,7.3500,37.0400
236,-12.3200,37.0400
237,-10.6700,37.0400
238,-11.5300,37.0400
239,-3.0000,37.0400
240,-11.6600,37.0400
241,7.5100,37.0400
242,-10.1300,37.0400
243,-10.4300,37.0400
244,-10.3300,37.0400
245,-0.1400,37.0400
246,7.0100,37.0400
247,7.0100,37.0400
248,8.0000,37.0400
249,-10.9000,37.0400
250,-10.8400,37.0400
251,-3.0000,37.0400
252,-10.2600,37.0400
253,7.0100,37.0400
254,27.0300,37.0400
255,9.1800,37.0400
256,-3.0000,37.0400
257,18.8400,37.0400
258,-10.9100,37.0400
259,-11.0700,37.0400
260,17.9400,37.0400
261,-10.4900,37.0400
262,-12.5600,37.0400
263,-2.1300,37.0400
264,-0.5400,37.0400
265,-11.4900,37.0400
266,-0.9300,37.0400
267,28.3700,37.0400
268,8.8400,37.0400
269,-1.6900,37.0400
270,-11.7400,37.0400
